"tid","meet_heuristic","three_labels","fourth_label","majority_vote"
"1000406217133608960","1","[0 0 0]","","0.0"
"1000876218974171137","1","[0 0 0]","","0.0"
"1000890492501090304","1","[0 0 0]","","0.0"
"1001047682025127936","1","[0 0 1]","1.0","0.0"
"1001070522560667650","1","[0 0 0]","","0.0"
"1001197865157382144","1","[0 0 0]","","0.0"
"1001790422568521729","1","[0 0 0]","","0.0"
"1001869287747915776","1","[0 0 0]","","0.0"
"1001934292887441409","1","[0 0 0]","","0.0"
"1001934833239707648","1","[0 0 0]","","0.0"
"1001936322276352000","1","[0 0 0]","","0.0"
"1001943237957967872","1","[0 0 0]","","0.0"
"1001948426110676997","1","[0 0 0]","","0.0"
"1001961262245466119","1","[0 0 0]","","0.0"
"1001996841385365505","1","[0 0 0]","","0.0"
"1002189220973305857","1","[0 0 0]","","0.0"
"1002204760181690369","1","[0 0 0]","","0.0"
"1002205159567609857","1","[0 0 0]","","0.0"
"1002417644925063168","1","[0 0 0]","","0.0"
"1002549288625496064","1","[0 0 0]","","0.0"
"1002763107007991808","1","[0 0 0]","","0.0"
"1002897084771692544","1","[0 0 0]","","0.0"
"1003279535335452672","1","[0 0 0]","","0.0"
"1003917579071770624","1","[0 0 0]","","0.0"
"1006385045399977985","1","[0 0 0]","","0.0"
"1006515481908477957","1","[0 0 0]","","0.0"
"1006897612014751748","1","[0 0 0]","","0.0"
"1006928127845720064","1","[0 0 0]","","0.0"
"1007210688874459137","1","[0 0 0]","","0.0"
"1007344691719876608","1","[0 0 0]","","0.0"
"1008735119652409351","1","[0 0 0]","","0.0"
"1008810187245879298","1","[0 0 0]","","0.0"
"1008988255348457472","1","[0 0 0]","","0.0"
"1008996258759966720","1","[0 0 0]","","0.0"
"101019969373995010","1","[0 0 0]","","0.0"
"1010225678724108288","1","[0 0 0]","","0.0"
"1010468773529255936","1","[0 0 0]","","0.0"
"1011067948939796481","1","[1 1 1]","","1.0"
"1011902475547430912","1","[0 0 0]","","0.0"
"1011958917478350848","1","[0 0 1]","0.0","0.0"
"1012369115904913408","1","[0 0 0]","","0.0"
"1012373884329287680","1","[0 0 0]","","0.0"
"1012456149021548547","1","[0 0 0]","","0.0"
"1013063070212485126","1","[0 0 0]","","0.0"
"101321987158315008","1","[0 0 0]","","0.0"
"1013249149469446145","1","[0 0 0]","","0.0"
"1013814456013479944","1","[0 0 0]","","0.0"
"1016142160859549696","1","[0 0 0]","","0.0"
"1016517580255662082","1","[0 0 0]","","0.0"
"1016556802584952834","1","[0 0 0]","","0.0"
"1016650812808839169","1","[0 0 0]","","0.0"
"1016847230446309378","1","[0 0 0]","","0.0"
"1017152363637899264","1","[0 0 0]","","0.0"
"1017182290848468992","1","[0 0 0]","","0.0"
"1017333699057209344","1","[0 0 0]","","0.0"
"1017508462035656706","1","[0 0 0]","","0.0"
"1017697708042326016","1","[0 0 0]","","0.0"
"1019649750319104000","1","[0 0 0]","","0.0"
"1019949054883590144","1","[0 0 0]","","0.0"
"1019950815560204288","1","[0 0 0]","","0.0"
"1020152846493208576","1","[0 0 0]","","0.0"
"1020171982493511680","1","[0 0 0]","","0.0"
"1021486389517590530","1","[0 0 0]","","0.0"
"1021501482569531392","1","[0 0 0]","","0.0"
"1021769429720461312","1","[0 0 0]","","0.0"
"1021786040921665536","1","[0 0 0]","","0.0"
"1022155493324795909","1","[1 0 1]","1.0","1.0"
"1022378302194020354","1","[0 0 0]","","0.0"
"1022427250048868352","1","[0 0 0]","","0.0"
"1023989282040627200","1","[1 0 1]","1.0","1.0"
"1025033877520244737","1","[0 0 0]","","0.0"
"1026157632543973376","1","[0 0 0]","","0.0"
"1026760924806475776","1","[0 0 0]","","0.0"
"1026846000860676098","1","[0 0 0]","","0.0"
"1026848967605329920","1","[0 0 0]","","0.0"
"1026851946844577792","1","[0 0 0]","","0.0"
"1026866460008898561","1","[0 0 0]","","0.0"
"1026897017564475392","1","[0 0 0]","","0.0"
"1026906934711119872","1","[0 0 0]","","0.0"
"1026947673948086278","1","[0 0 0]","","0.0"
"1027024469724778497","1","[0 0 1]","0.0","0.0"
"1027058946564075520","1","[0 0 0]","","0.0"
"1027065429561204736","1","[1 1 1]","","1.0"
"1027147412987625473","1","[0 0 0]","","0.0"
"1027149705455775744","1","[0 0 0]","","0.0"
"1027173787777806336","1","[0 0 0]","","0.0"
"1027227066763300865","1","[0 0 0]","","0.0"
"1027275858984226816","1","[0 0 0]","","0.0"
"1027354352376135680","1","[0 0 0]","","0.0"
"1027631763235983361","1","[0 0 0]","","0.0"
"1027639001967210496","1","[0 0 1]","0.0","0.0"
"1027639178006351873","1","[0 0 0]","","0.0"
"1029613642721849349","1","[0 0 0]","","0.0"
"102974429608411137","1","[0 0 0]","","0.0"
"1030449175463374848","1","[0 0 0]","","0.0"
"1030634471362572288","1","[0 0 0]","","0.0"
"1032272844015763458","1","[0 0 0]","","0.0"
"1032320698969202688","1","[0 0 0]","","0.0"
"103280391284203520","1","[0 0 0]","","0.0"
"1032992070988976130","1","[0 0 0]","","0.0"
"1033602454900826113","1","[0 0 0]","","0.0"
"1033898150900260865","1","[0 0 0]","","0.0"
"1034107400276434944","1","[0 0 0]","","0.0"
"1035678752959803393","1","[0 0 0]","","0.0"
"1035935839430291461","1","[0 0 0]","","0.0"
"1037703731830288384","1","[0 0 0]","","0.0"
"1039951663933677570","1","[1 1 1]","","1.0"
"1039974126490775553","1","[0 0 0]","","0.0"
"1041368872367079424","1","[0 0 0]","","0.0"
"1041369822641176576","1","[0 0 0]","","0.0"
"1041677416584896512","1","[0 0 0]","","0.0"
"1041764078794858496","1","[1 0 0]","1.0","0.0"
"1041957264251387905","1","[0 0 0]","","0.0"
"1042015125572599809","1","[0 0 0]","","0.0"
"1042088106441297923","1","[0 0 0]","","0.0"
"1042133246492987393","1","[0 0 0]","","0.0"
"1042314850708463616","1","[0 0 0]","","0.0"
"1042315838223790080","1","[0 0 0]","","0.0"
"1042375500830859264","1","[0 0 0]","","0.0"
"1042390941624098816","1","[0 0 0]","","0.0"
"1042391927138775040","1","[0 0 0]","","0.0"
"1042394512440516609","1","[0 0 0]","","0.0"
"1042416682403278848","1","[0 0 0]","","0.0"
"1042420768527855617","1","[0 0 0]","","0.0"
"1042433936637358080","1","[0 0 0]","","0.0"
"1042451252481847298","1","[0 0 0]","","0.0"
"1042473400642367489","1","[0 0 0]","","0.0"
"1042496029700976640","1","[0 0 0]","","0.0"
"1042521994409857024","1","[0 0 0]","","0.0"
"1042522306252234753","1","[0 0 0]","","0.0"
"1042612834633506817","1","[0 0 0]","","0.0"
"1042666399376785408","1","[0 0 0]","","0.0"
"1042689288561979392","1","[0 1 0]","0.0","0.0"
"1042746302952562688","1","[0 0 0]","","0.0"
"1042808216319668230","1","[0 0 0]","","0.0"
"1042863222007758853","1","[0 1 0]","0.0","0.0"
"1043062275467300865","1","[0 0 0]","","0.0"
"1043089493132304384","1","[0 0 0]","","0.0"
"1043117199752355842","1","[0 0 0]","","0.0"
"1043119916113641472","1","[0 0 0]","","0.0"
"1043192184319762437","1","[0 1 0]","0.0","0.0"
"1043547234892165120","1","[0 0 0]","","0.0"
"1043547470112940033","1","[0 0 0]","","0.0"
"1043561338889543680","1","[1 1 1]","","1.0"
"1043857924991447040","1","[0 0 0]","","0.0"
"1044145813377564674","1","[0 0 0]","","0.0"
"1044167193007579137","1","[0 0 0]","","0.0"
"1044184944660996097","1","[0 0 0]","","0.0"
"1044334516939235328","1","[0 0 0]","","0.0"
"1044403472920018944","1","[0 0 0]","","0.0"
"1044530975319842816","1","[0 0 0]","","0.0"
"1044700433481170944","1","[0 0 0]","","0.0"
"1044814192124022784","1","[0 0 0]","","0.0"
"1044957013212626945","1","[0 0 0]","","0.0"
"1045369239320707072","1","[0 0 0]","","0.0"
"1045707991562031105","1","[0 0 0]","","0.0"
"1045950723115110400","1","[0 0 0]","","0.0"
"1046593132056338432","1","[0 0 0]","","0.0"
"1047157262094159879","1","[0 0 0]","","0.0"
"1047541968421756929","1","[0 0 0]","","0.0"
"1047764798304387072","1","[0 0 0]","","0.0"
"1047941697504608256","1","[0 0 0]","","0.0"
"1048116076331057152","1","[0 0 0]","","0.0"
"1048225103186731008","1","[0 0 0]","","0.0"
"1048860564519378944","1","[0 0 0]","","0.0"
"1049352978472361984","1","[0 0 0]","","0.0"
"1049614255081881600","1","[0 0 0]","","0.0"
