"tid","paper_doi","posted_on","is_retraction_related"
"1181121326813085696","10.1093/molbev/msz230","2019-10-07 8:17:23","1"
"1181212338696773632","10.1093/molbev/msz230","2019-10-07 14:19:02","1"
"1181212462365863936","10.1093/molbev/msz230","2019-10-07 14:19:31","1"
"1178670811672125445","10.1038/s41586-018-0651-8","2019-09-30 13:59:54",""
"1179412771215204354","10.1038/s41586-018-0651-8","2019-10-02 15:08:11",""
"1172404474620473344","10.1371/journal.pone.0218664","2019-09-13 6:59:43",""
"1172429055271899144","10.1371/journal.pone.0218664","2019-09-13 8:37:24",""
"1172430905404579840","10.1371/journal.pone.0218664","2019-09-13 8:44:45",""
"1172456751498588160","10.1371/journal.pone.0218664","2019-09-13 10:27:27",""
"1172471357378113536","10.1371/journal.pone.0218664","2019-09-13 11:25:29",""
"1172475714785988608","10.1371/journal.pone.0218664","2019-09-13 11:42:48",""
"1172476361211990016","10.1371/journal.pone.0218664","2019-09-13 11:45:22",""
"1172486206749335553","10.1371/journal.pone.0218664","2019-09-13 12:24:30",""
"1172516732495261697","10.1371/journal.pone.0218664","2019-09-13 14:25:47",""
"1172609202931544066","10.1371/journal.pone.0218664","2019-09-13 20:33:14",""
"1172643886621241344","10.1371/journal.pone.0218664","2019-09-13 22:51:03",""
"1172836484312915968","10.1371/journal.pone.0218664","2019-09-14 11:36:22",""
"1172845626360569857","10.1371/journal.pone.0218664","2019-09-14 12:12:42",""
"1173052119147933697","10.1371/journal.pone.0218664","2019-09-15 1:53:14",""
"1173509458464509952","10.1371/journal.pone.0218664","2019-09-16 8:10:32",""
"1173607577747361798","10.1371/journal.pone.0218664","2019-09-16 14:40:25",""
"1175049827928936448","10.1371/journal.pone.0218664","2019-09-20 14:11:25",""
"1170804133848219649","10.1016/j.eurox.2019.100095","2019-09-08 21:00:32",""
"1176423055750512641","10.4103/0019-5154.265814","2019-09-24 9:08:08",""
"1166682712419295232","10.1186/s40478-019-0709-3","2019-08-28 12:03:29",""
"1162111516163878942","10.1016/j.ajog.2019.08.003","2019-08-15 21:19:11","1"
"1162404078892306433","10.1016/j.cub.2015.09.056","2019-08-16 16:41:43",""
"1166046995095703552","10.1016/j.cub.2015.09.056","2019-08-26 17:57:22",""
"1167042120063930368","10.1016/j.cub.2015.09.056","2019-08-29 11:51:38",""
"1171488084011057155","10.1016/j.cub.2015.09.056","2019-09-10 18:18:19",""
"1171506985214201856","10.1016/j.cub.2015.09.056","2019-09-10 19:33:25",""
"1172186597346828288","10.1016/j.cub.2015.09.056","2019-09-12 16:33:57",""
"1172938417652535298","10.1016/j.cub.2015.09.056","2019-09-14 18:21:25",""
"1172946051759841281","10.1016/j.cub.2015.09.056","2019-09-14 18:51:45",""
"1172975332233814017","10.1016/j.cub.2015.09.056","2019-09-14 20:48:06",""
"1173163776243306496","10.1016/j.cub.2015.09.056","2019-09-15 9:16:55","1"
"1173349065754664960","10.1016/j.cub.2015.09.056","2019-09-15 21:33:11",""
"1175913384962748416","10.1016/j.cub.2015.09.056","2019-09-22 23:22:53",""
"1175919707985068032","10.1016/j.cub.2015.09.056","2019-09-22 23:48:00",""
"1176934194901061632","10.1016/j.cub.2015.09.056","2019-09-25 18:59:13",""
"1177947244022116353","10.1016/j.cub.2015.09.056","2019-09-28 14:04:42","1"
"1178292594490707970","10.1016/j.cub.2015.09.056","2019-09-29 12:57:00",""
"1180291953914781696","10.1016/j.cub.2015.09.056","2019-10-05 1:21:45",""
"1180753227886862336","10.1016/j.cub.2015.09.056","2019-10-06 7:54:41","1"
"1180770355796942848","10.1016/j.cub.2015.09.056","2019-10-06 9:02:45","1"
"1180821337151070208","10.1016/j.cub.2015.09.056","2019-10-06 12:25:20","1"
"1180858543018303488","10.1016/j.cub.2015.09.056","2019-10-06 14:53:10","1"
"1180860131313012736","10.1016/j.cub.2015.09.056","2019-10-06 14:59:29","1"
"1180871869899128832","10.1016/j.cub.2015.09.056","2019-10-06 15:46:07","1"
"1180890260756189184","10.1016/j.cub.2015.09.056","2019-10-06 16:59:12","1"
"1180910000000000000","10.1016/j.cub.2015.09.056","2019-10-06 18:33:04","1"
"1180937440145494016","10.1016/j.cub.2015.09.056","2019-10-06 20:06:41","1"
"1181250100766674944","10.1016/j.cub.2015.09.056","2019-10-07 16:49:05","1"
"1163482011635466240","10.1186/s40644-019-0199-3","2019-08-19 16:05:02",""
"1157123325170262018","10.1002/anie.201704704","2019-08-02 2:57:53",""
"1166755650841526273","10.1007/s11657-018-0503-z","2019-08-28 16:53:19",""
"1156520905482391552","10.1186/s12929-019-0520-2","2019-07-31 11:04:05",""
