"tid","meet_heuristic","three_labels","fourth_label","majority_vote"
"705409152844038144","1","[0. 0. 0.]","","0"
"903646029253312513","1","[0. 0. 0.]","","0"
"1179471189590368259","1","[0. 0. 0.]","","0"
"1180892237468753920","1","[0. 0. 0.]","","0"
"831221406180388864","1","[0. 0. 0.]","","0"
"907947906224742400","1","[1. 1. 1.]","","1"
"248463550887112705","1","[0. 0. 0.]","","0"
"1136349657670381568","1","[0. 0. 0.]","","0"
"1060222915776401408","1","[0. 0. 0.]","","0"
"637213553527816192","1","[1. 1. 1.]","","1"
"966998578634752000","1","[0. 0. 0.]","","0"
"986239114776162309","1","[0. 0. 0.]","","0"
"540272148460228608","1","[0. 0. 0.]","","0"
"924844297286975488","1","[0. 0. 0.]","","0"
"797885933538267136","1","[0. 0. 0.]","","0"
"248452264103141376","1","[0. 0. 0.]","","0"
"1013980950185857024","1","[1. 1. 1.]","","1"
"1145761676664483840","1","[0. 0. 0.]","","0"
"255712573322846208","1","[0. 0. 0.]","","0"
"1060123078565548034","1","[0. 0. 0.]","","0"
"912760959042760704","1","[0. 0. 0.]","","0"
"504417280281673728","1","[0. 0. 0.]","","0"
"538827940478615553","1","[0. 0. 0.]","","0"
"920409713644326912","1","[0. 0. 0.]","","0"
"329868770933895168","1","[0. 0. 0.]","","0"
"320499399216226304","1","[1. 1. 1.]","","1"
"535747585630568448","1","[1. 1. 1.]","","1"
"1057707969058496512","1","[0. 0. 0.]","","0"
"998443381792493569","1","[0. 0. 0.]","","0"
"1083628025219108864","1","[0. 0. 0.]","","0"
"577584629877608448","1","[0. 0. 0.]","","0"
"1032472162446262272","1","[1. 1. 1.]","","1"
"1166705423631704064","1","[1. 1. 1.]","","1"
"306016659703992320","1","[0. 0. 0.]","","0"
"535974699478843392","1","[1. 1. 1.]","","1"
"1104154230330400771","1","[0. 0. 0.]","","0"
"1058824434331529216","1","[0. 0. 0.]","","0"
"1106512567114047490","1","[0. 0. 0.]","","0"
"979073644524576769","1","[1. 1. 1.]","","1"
"1006288755555266565","1","[0. 0. 0.]","","0"
"370930188701282304","1","[0. 0. 0.]","","0"
"969241233037066240","1","[0. 0. 0.]","","0"
"849332791573655552","1","[0. 0. 0.]","","0"
"503735053134733312","1","[0. 0. 0.]","","0"
"1149080221762695170","1","[0. 0. 0.]","","0"
"936280507108790274","1","[0. 0. 0.]","","0"
"938296255184293888","1","[1. 1. 1.]","","1"
"691942637302079488","1","[0. 0. 0.]","","0"
"912382867858214914","1","[0. 0. 0.]","","0"
"936622170922303489","1","[0. 0. 0.]","","0"
"1052543041041383425","1","[1. 1. 1.]","","1"
"100610514559832065","1","[0. 0. 0.]","","0"
"889427958674317313","1","[0. 0. 0.]","","0"
"1080509058828779521","1","[0. 0. 0.]","","0"
"213018486786633729","1","[0. 0. 0.]","","0"
"1147641984330469377","1","[0. 0. 0.]","","0"
"556480727903399937","1","[0. 0. 0.]","","0"
"343091311471124480","1","[0. 0. 0.]","","0"
"715824090620231680","1","[0. 0. 0.]","","0"
"198227676685795328","1","[0. 0. 0.]","","0"
"1135560677127577600","1","[0. 0. 0.]","","0"
"1144557298729267201","1","[0. 0. 0.]","","0"
"566936410486095872","1","[1. 1. 1.]","","1"
"1139328647439908864","1","[0. 0. 0.]","","0"
"261029336243650561","1","[0. 0. 0.]","","0"
"862802529108635648","1","[0. 0. 0.]","","0"
"734792297230012416","1","[0. 0. 0.]","","0"
"1178646372825870336","1","[0. 0. 0.]","","0"
"872587354502049792","1","[0. 0. 0.]","","0"
"741027189408342016","1","[0. 0. 0.]","","0"
"796718054109495296","1","[0. 0. 0.]","","0"
"968160585383862272","1","[0. 0. 0.]","","0"
"442119435935944704","1","[0. 0. 0.]","","0"
"345087902314815488","1","[0. 0. 0.]","","0"
"329855890469564416","1","[0. 0. 0.]","","0"
"893178872828526592","1","[0. 0. 0.]","","0"
"868130300651556864","1","[0. 0. 0.]","","0"
"442793782585475072","1","[0. 0. 0.]","","0"
"937118182170660865","1","[1. 1. 1.]","","1"
"830009736326176768","1","[0. 0. 0.]","","0"
"577165302170923008","1","[0. 0. 0.]","","0"
"907672785878528000","1","[0. 0. 0.]","","0"
"514723481145970688","1","[0. 0. 0.]","","0"
"927065457122738176","1","[0. 0. 0.]","","0"
"986920838275280901","1","[0. 0. 0.]","","0"
"999213528644046848","1","[0. 0. 0.]","","0"
"504382877719871488","1","[0. 0. 0.]","","0"
"914495616318869505","1","[0. 0. 0.]","","0"
"114699527822389250","1","[0. 0. 0.]","","0"
